SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,CENSUS2000GQPOP,GQESTIMATESBASE2000,GQPOPESTIMATES2000,GQPOPESTIMATES2001,GQPOPESTIMATES2002,GQPOPESTIMATES2003,GQPOPESTIMATES2004
50,50,7,1,1,Chittenden County,Vermont,146571,146571,146973,147795,148503,148848,149286,445,1630,1586,1572,1533,231,919,963,982,1054,133,509,496,486,487,46,-358,-386,-710,-539,9,-40,-25,-21,11,7397,7397,7397,7397,7397,7397,7397
50,50,9,1,1,Essex County,Vermont,6459,6459,6463,6504,6554,6571,6654,19,53,70,54,52,13,58,57,57,49,0,3,3,3,3,-1,44,36,18,76,-1,-1,-2,-1,1,27,27,27,27,27,27,27
50,50,11,1,1,Franklin County,Vermont,45417,45417,45599,46132,46643,47138,47556,154,578,559,594,607,78,388,351,352,384,2,30,30,29,29,101,326,280,231,161,3,-13,-7,-7,5,601,601,601,601,601,601,601
50,50,13,1,1,Grand Isle County,Vermont,6901,6901,6940,7142,7316,7491,7643,18,71,56,64,82,8,47,49,46,48,0,2,2,2,2,30,177,165,157,116,-1,-1,0,-2,0,0,0,0,0,0,0,0
50,50,15,1,1,Lamoille County,Vermont,23233,23233,23352,23662,24001,24245,24418,67,271,247,261,277,42,198,166,156,160,4,27,26,26,26,90,217,237,117,26,0,-7,-5,-4,4,597,597,597,597,597,597,597
50,50,17,1,1,Orange County,Vermont,28226,28226,28310,28706,28852,29090,29189,71,271,288,284,256,56,195,240,225,232,0,10,10,10,10,69,314,92,175,62,0,-4,-4,-6,3,646,646,646,646,646,646,646
50,50,19,1,1,Orleans County,Vermont,26277,26277,26342,26546,26691,27118,27372,65,274,282,274,289,54,287,292,282,267,1,15,15,15,15,51,210,146,425,217,2,-8,-6,-5,0,707,707,707,707,707,707,707
50,50,21,1,1,Rutland County,Vermont,63400,63400,63419,63303,63329,63547,63616,151,681,571,591,612,152,645,625,595,603,4,17,17,17,17,9,-154,72,215,35,7,-15,-9,-10,8,2012,2012,2012,2012,2012,2012,2012
50,50,23,1,1,Washington County,Vermont,58039,58039,58074,58541,58937,58959,59068,145,581,622,627,616,104,521,496,501,511,18,94,91,87,87,-27,324,188,-182,-90,3,-11,-9,-9,7,2117,2117,2117,2117,2117,2117,2117
50,50,25,1,1,Windham County,Vermont,44216,44216,44177,44078,44195,44418,44284,116,449,416,441,444,104,441,396,413,439,5,32,32,32,32,-59,-128,72,170,-171,3,-11,-7,-7,0,1126,1126,1126,1126,1126,1126,1126
